source_file,en_source,de_translation,de_correction,error_category,severity,feedback_reviewer,feedback_translator,linter_fires,comment_classification
24_0428_4317_US_IE_4.xlsx,apparatus / device,Vorrichtung / Vorrichtung,Vorrichtung / Einrichtung,Consistency,Minor,"Im Titel wird apparatus mit Vorrichtung übersetzt, dann muss device mit Einrichtung übersetzt werden.",,,glossary:apparatus_device
24_0428_4317_US_IE_4.xlsx,terminal device,Endgerät,Endgeräteeinrichtung,Preferential Change,,"Zur Konsistenz mit ""device""",,,glossary:apparatus_device
24_0428_4317_US_IE_4.xlsx,"sending, to the network device (1700), a random access preamble corresponding to the first SSB (S502), wherein the random access preamble is carried at a first time domain position, the first time domain position is associated with a timing offset value, wherein the timing offset value is determined by the network device (1700) based on a round-trip delay between the network device (1700) and a first position in an area covered by the network device (1700); and","Senden, an die Netzwerkvorrichtung (1700), einer Direktzugriffspräambel, die dem ersten SSB (S502) entspricht, wobei die Direktzugriffspräambel an einer ersten Zeitbereichsposition getragen wird, wobei die erste Zeitbereichsposition mit einem Zeitversatzwert verknüpft ist, wobei der Zeitversatzwert durch die Netzwerkvorrichtung (1700) basierend auf einer Umlaufverzögerung zwischen der Netzwerkvorrichtung (1700) und einer ersten Position in einem Bereich, der durch die Netzwerkvorrichtung (1700) abgedeckt ist, bestimmt wird; und","Senden einer Direktzugriffspräambel, die dem ersten SSB (S502) entspricht, an die Netzwerkeinrichtung (1700), wobei die Direktzugriffspräambel an einer ersten Zeitbereichsposition übertragen wird, wobei die erste Zeitbereichsposition mit einem Zeitversatzwert verknüpft ist, wobei der Zeitversatzwert durch die Netzwerkeinrichtung (1700) basierend auf einer Umlaufverzögerung zwischen der Netzwerkeinrichtung (1700) und einer ersten Position in einem Bereich, der durch die Netzwerkeinrichtung (1700) abgedeckt ist, bestimmt ist; und",,Minor,"Genitive im Deutschen nicht trennen (Senden einer Direktzugriffspräambel)
""bestimmt ist"", weil es sich um einen passive state handelt",,werden_dynamic,linter_new:genitive_separation; linter:werden_dynamic; glossary:apparatus_device
24_0428_4317_US_IE_4.xlsx,moment,das Moment,der Moment,Mistranslation,Minor,"Ich denke, dass mit ""moment"" ein ""Zeitpunkt"" gemeint ist",,,manual:terminology
24_0428_4317_US_IE_4.xlsx,slot,Schlitz,Slot,Mistranslation,Minor,In diesem Kontext wird Slot auch im Deutschen verwendet.,,,manual:terminology
24_0428_4317_US_IE_4.xlsx,"a quantity of random access channel occasion, RO, resources comprised in the first time domain position, wherein the RO resource is used to carry the random access preamble; or","eine Anzahl von Direktzugriffskanalgelegenheits-, RO-, Ressourcen, die in der ersten Zeitbereichsposition umfasst sind, wobei die RO-Ressource verwendet wird, um die Direktzugriffspräambel zu tragen; oder","eine Anzahl von Direktzugriffskanalgelegenheits(RO)-Ressourcen, die in der ersten Zeitbereichsposition enthalten sind, wobei die RO-Ressource verwendet wird, um die Direktzugriffspräambel zu übertragen; oder",Country Standards,Minor,"Laut der Reviewer sollen Akronyme innerhalb von Komposita in Klammern stehen.
comprised = enthalten (auch wenn sonst ""umfassen"" richtig ist --- Aussage eines Reviewers)
carry = übertragen (hier passender)",,werden_dynamic,linter:acronym_in_compound; glossary:include
24_0428_4317_US_IE_4.xlsx,"a value of the timing offset value is related to a value of an offset Koffset value, wherein the Koffset value is used to determine a scheduling interval of a physical uplink shared channel, PUSCH, signal.","ein Wert des Zeitversatzwerts mit einem Wert eines Versatz-Koffset-Werts in Beziehung steht, wobei der Koffset-Wert verwendet wird, um ein Planungsintervall eines Physical Uplink Shared Channel-, PUSCH-, Signals zu bestimmen.","ein Wert des Zeitversatzwerts mit einem Wert eines Versatz-Koffset-Werts in Beziehung steht, wobei der Koffset-Wert verwendet wird, um ein Planungsintervall eines Signals eines gemeinsam genutzten physischen Uplink-Kanals, PUSCH, zu bestimmen.",Mistranslation,Minor,"""Physical Uplink Shared Channel"" nicht übersetzt
Für ""Koffset"" habe ich ein Errata sheet eingereicht",,werden_dynamic,manual:accuracy
24_0428_4317_US_IE_4.xlsx,"determining the timing offset value based on a round-trip delay between the network device (1700) and a first position in an area covered by the network device (1700); wherein the first time domain position is obtained by the terminal device (1600) by offsetting a first moment based on the timing offset value, and the first moment is associated with the first SSB.","Bestimmen des Zeitversatzwerts basierend auf einer Umlaufverzögerung zwischen der Netzwerkvorrichtung (1700) und einer ersten Position in einem Bereich, der durch die Netzwerkvorrichtung (1700) abgedeckt wird; wobei die erste Zeitbereichsposition durch das Endgerät (1600) durch Versetzen eines ersten Moments basierend auf dem Zeitversatzwert erhalten wird und das erste Moment mit dem ersten SSB verknüpft ist.","Bestimmen des Zeitversatzwerts basierend auf einer Umlaufverzögerung zwischen der Netzwerkeinrichtung (1700) und einer ersten Position in einem Bereich, der durch die Netzwerkeinrichtung (1700) abgedeckt ist; wobei die erste Zeitbereichsposition durch die Endgeräteeinrichtung (1600) durch Versetzen eines ersten Moments basierend auf dem Zeitversatzwert erhalten wird und der erste Moment mit dem ersten SSB verknüpft ist.",Accuracy,Minor,abgedeckt ist (wie oben schon einmal verwendet),,werden_dynamic,glossary:apparatus_device
24_0430_4584_US_IE_4.xlsx,"1. A dial-up packet processing method, applied to a control plane network element in a dial-up packet processing system, wherein the system comprises a controller, an access gateway, a forwarding plane network element, and the control plane network element that are connected to each other, and the method comprises:","1. Einwahlpaket-Verarbeitungsverfahren, das auf ein Steuerungsebenen-Netzwerkelement in einem Einwahlpaket-Verarbeitungssystem angewendet wird, wobei das System eine Steuerung, ein Zugangs-Gateway, ein Weiterleitungsebenen-Netzwerkelement und das Steuerungsebenen-Netzwerkelement umfasst, die miteinander verbunden sind, und das Verfahren umfasst:","1. Einwahlpaketverarbeitungsverfahren, das auf ein Steuerungsebenennetzwerkelement in einem Einwahlpaketverarbeitungssystem angewendet wird, wobei das System eine Steuerung, ein Zugangs-Gateway, ein Weiterleitungsebenennetzwerkelement und das Steuerungsebenennetzwerkelement umfasst, die miteinander verbunden sind, und das Verfahren Folgendes umfasst:",Preferential Change,,"Bindestriche entfernt gemäß Style Guide, Abs 3.10",,werden_dynamic,linter:hyphen_in_long_compound
24_0430_4584_US_IE_4.xlsx,through / by,durch / durch,über /durch,Preferential Change,,Hier am besten unterscheiden,,,manual:consistency
24_0430_4584_US_IE_4.xlsx,"sending (S406), by the control plane network element, information about the forwarding plane network element to the controller, to enable the controller to send a tunnel establishment request to the access gateway, wherein the tunnel establishment request is generated by the controller based on the information about the forwarding plane network element, the tunnel establishment request is used to establish a first communication tunnel between the access gateway and the forwarding plane network element, and the first communication tunnel is in a correspondence with the IP address.","Senden (S406), durch das Steuerungsebenennetzwerkelement, von Informationen über das Weiterleitungsebenennetzwerkelement an die Steuerung, um die Steuerung in die Lage zu versetzen, eine Tunnelaufbauanforderung an das Zugangs-Gateway zu senden, wobei die Tunnelaufbauanforderung durch die Steuerung basierend auf den Informationen über das Weiterleitungsebenennetzwerkelement erzeugt wird, die Tunnelaufbauanforderung verwendet wird, um einen ersten Kommunikationstunnel zwischen dem Zugangs-Gateway und dem Weiterleitungsebenennetzwerkelement aufzubauen, und der erste Kommunikationstunnel in einer Korrespondenz mit der IP-Adresse steht.","Senden (S406) von Informationen zu dem Weiterleitungsebenennetzwerkelement an die Steuerung durch das Steuerungsebenennetzwerkelement, um die Steuerung in die Lage zu versetzen, eine Tunnelaufbauanforderung an das Zugangs-Gateway zu senden, wobei die Tunnelaufbauanforderung durch die Steuerung basierend auf den Informationen zu dem Weiterleitungsebenennetzwerkelement erzeugt wird, die Tunnelaufbauanforderung verwendet wird, um einen ersten Kommunikationstunnel zwischen dem Zugangs-Gateway und dem Weiterleitungsebenennetzwerkelement aufzubauen, und der erste Kommunikationstunnel in einer Korrespondenz mit der IP-Adresse ist.",Accuracy,Minor,"Genitiv trennen
about = hier ""zu"", um Inkonsistenz mit ""through"" zu vermeiden
is = ist (nicht steht)",,werden_dynamic,linter_new:genitive_separation; linter:werden_dynamic; manual:consistency
24_0430_4584_US_IE_4.xlsx,"5. The method according to any one of claims 1 to 4, wherein the dial-up success information comprises service level agreement SLA information corresponding to the IP address, and the determining (S405), by the control plane network element, the forwarding plane network element based on the dial-up success information comprises: determining, by the control plane network element, the forwarding plane network element based on the SLA information.","5. Verfahren nach einem der Ansprüche 1 bis 4, wobei die Einwahlerfolgsinformationen Dienstgütevereinbarungs-, SLA-, Informationen umfassen, die der IP-Adresse entsprechen, und das Bestimmen (S405), durch das Steuerungsebenennetzwerkelement, des Weiterleitungsebenennetzwerkelements basierend auf den Einwahlerfolgsinformationen Folgendes umfasst: Bestimmen, durch das Steuerungsebenennetzwerkelement, des Weiterleitungsebenennetzwerkelements basierend auf den SLA-Informationen.","5. Verfahren nach einem der Ansprüche 1 bis 4, wobei die Einwahlerfolgsinformationen Dienstgütevereinbarungs(SLA)-Informationen umfassen, die mit der IP-Adresse korrespondieren, und das Bestimmen (S405) des Weiterleitungsebenennetzwerkelements durch das Steuerungsebenennetzwerkelement basierend auf den Einwahlerfolgsinformationen Folgendes umfasst: Bestimmen des Weiterleitungsebenennetzwerkelements durch das Steuerungsebenennetzwerkelement basierend auf den SLA-Informationen.",Accuracy,Minor,"Klammern für Akronyme innerhalb von Komposita
korrespondieren statt entsprechen (konsistent)",,,linter:acronym_in_compound; manual:consistency
